This is a comma-delimited file constructed by integrating
records from multiple sources. The variables are:
Protraction, Region, Gas, Oil, Date
Green Canyon,Central12784544,"5,453,448",2004-08-01
   Green  Canyon,central11523111,"5,262,282",2004-09-01
Green Canyon,Central13811965,"6,O5O,812",2004-10-01
   Green  Canyon,CEntral13193792,"5,423,808"
   Green  Canyon,CEntral
   Green  Canyon,central14209852,"5,846,539",2005-01-01
   Green  Canyon,CEntral
   Green  Canyon,Central14518965,"6,691,650",2005-03-01
   Green  Canyon,CEntral12708686,"6,655,825"
   Green  Canyon,CEntral
Green Canyon,Central13093970,"7,8O7,514",2005-06-01
Green Canyon,Central11403252,"6,672,119",2005-07-01
Green Canyon,CENTRAL10404710,"6,430,192",2005-08-01
   Green  Canyon,CEntral6487299,"3,587,892"
Green Canyon,CENTRAL9718591,"6,209,107",2005-10-01
   Green  Canyon,central9828729,"6,279,986",2005-11-01
Green Canyon,Central8857852,"5,548,672",2005-12-01
   Green  Canyon,CEntral8669198,"4,552,079"
   Green  Canyon,CEntral
Green Canyon,Central8130574,"3,754,210",2006-03-01
   Main  Pass  Area,central,,,1996-01-01
   Main  Pass  Area,CEntral
   Main  Pass  Area,CEntral
   Main  Pass  Area,central18626796,"2,233,817",1996-04-01
Main Pass Area,Central19931067,"2,289,407",1996-05-01
   Main  Pass  Area,central19141879,"2,268,851",1996-06-01
   Main  Pass  Area,CEntral16741465,"2,226,916"
   Main  Pass  Area,CEntral19850633,"2,328,655"
Main Pass Area,Central18634830,"2,241,655",1996-09-01
Main Pass Area,CENTRAL18108436,"2,087,002",1996-10-01
   Main  Pass  Area,Central17982854,"2,232,313",1996-11-01
   Main  Pass  Area,CEntral
Main Pass Area,Central18926129,"2,38O,661",1997-01-01
   Main  Pass  Area,central17586692,"2,111,755",1997-02-01
Main Pass Area,Central18996569,"2,378,395",1997-03-01
   Main  Pass  Area,central16683408,"2,197,159",1997-04-01
Main Pass Area,CENTRAL16824088,"2,331,247",1997-05-01
Main Pass Area,Central17303159,"2,39O,427",1997-06-01
   Main  Pass  Area,CEntral16917575,"2,279,717"
   Main  Pass  Area,CEntral
Main Pass Area,Central17936036,"2,233,O81",1997-09-01
   Main  Pass  Area,CEntral
Main Pass Area,Central17783958,"2,143,35O",1997-11-01
   Main  Pass  Area,central17494300,"2,102,728",1997-12-01
Main Pass Area,Central18298180,"2,111,656",1998-01-01
Main Pass Area,CENTRAL16347997,"1,756,233",1998-02-01
   Main  Pass  Area,central,,,1998-03-01
Main Pass Area,Central18065818,"2,O56,321",1998-04-01
   Main  Pass  Area,CENTRAL19333922,"2,192,657"
   Main  Pass  Area,Central20327785,"2,133,284",1998-06-01
Main Pass Area,CENTRAL21270897,"2,135,250",1998-07-01
Main Pass Area,CENTRAL23784863,"2,163,036",1998-08-01
Main Pass Area,Central15033033,"1,416,O81",1998-09-01
   Main  Pass  Area,CEntral20435823,"1,653,071"
   Main  Pass  Area,CEntral
Main Pass Area,CENTRAL22767521,"2,025,215",1998-12-01
Main Pass Area,Central22875393,"1,961,OO2",1999-01-01
Main Pass Area,CENTRAL20453641,"1,664,693",1999-02-01
Main Pass Area,CENTRAL22804120,"2,019,272",1999-03-01
   Main  Pass  Area,CENTRAL23093411,"2,081,569"
Main Pass Area,Central23728486,"2,170,893",1999-05-01
Main Pass Area,Central26109214,"2,144,784",1999-06-01
   Main  Pass  Area,CEntral
   Main  Pass  Area,CEntral
   Main  Pass  Area,central22973245,"2,115,080",1999-09-01
Main Pass Area,CENTRAL22897769,"2,113,103",1999-10-01
   Main  Pass  Area,central,,,1999-11-01
   Main  Pass  Area,CENTRAL23005081,"2,076,379"
Main Pass Area,CENTRAL23640910,"2,107,555",2000-01-01
Main Pass Area,CENTRAL20968462,"1,958,882",2000-02-01
   Main  Pass  Area,CEntral21851687,"2,048,053"
   Main  Pass  Area,central20731106,"1,881,694",2000-04-01
Main Pass Area,Central21088339,"2,122,O14",2000-05-01
Main Pass Area,CENTRAL20814681,"2,066,459",2000-06-01
   Main  Pass  Area,central,,,2000-07-01
Main Pass Area,Central21131249,"2,137,299",2000-08-01
   Main  Pass  Area,Central18323772,"2,002,977",2000-09-01
Main Pass Area,Central20137244,"2,030,787",2000-10-01
Main Pass Area,CENTRAL20012839,"1,943,707",2000-11-01
Main Pass Area,Central19472767,"1,777,711",2000-12-01
Main Pass Area,CENTRAL19290323,"1,892,149",2001-01-01
   Main  Pass  Area,Central16642912,"1,320,529",2001-02-01
   Main  Pass  Area,central16546359,"1,775,775",2001-03-01
Main Pass Area,Central16768631,"1,892,783",2001-04-01
   Main  Pass  Area,CEntral
Main Pass Area,Central16247525,"1,9O9,744",2001-06-01
   Main  Pass  Area,Central17109864,"2,047,512",2001-07-01
   Main  Pass  Area,central17197281,"2,143,575",2001-08-01
   Main  Pass  Area,Central17276586,"1,999,681",2001-09-01
   Main  Pass  Area,central,,,2001-10-01
   Main  Pass  Area,CENTRAL15950395,"1,968,485"
   Main  Pass  Area,central,,,2001-12-01
Main Pass Area,CENTRAL15323912,"2,198,164",2002-01-01
Main Pass Area,Central14113365,"2,141,470",2002-02-01
Main Pass Area,CENTRAL14995372,"2,348,836",2002-03-01
Main Pass Area,Central13945415,"2,153,692",2002-04-01
Main Pass Area,Central12875430,"2,178,125",2002-05-01
Main Pass Area,Central12935651,"2,168,254",2002-06-01
   Main  Pass  Area,CENTRAL12611338,"2,259,496"
Main Pass Area,Central12256679,"2,268,645",2002-08-01
Main Pass Area,Central10033389,"1,998,6O2",2002-09-01
   Main  Pass  Area,central,,,2002-10-01
Main Pass Area,CENTRAL11482547,"2,372,222",2002-11-01
   Main  Pass  Area,central,,,2002-12-01
   Main  Pass  Area,CEntral
Main Pass Area,CENTRAL10973489,"2,325,416",2003-02-01
Main Pass Area,CENTRAL11962440,"2,661,520",2003-03-01
   Main  Pass  Area,central,,,2003-04-01
   Main  Pass  Area,central12116090,"2,695,620",2003-05-01
Main Pass Area,Central11441153,"2,6O2,O24",2003-06-01
   Main  Pass  Area,Central10864315,"2,586,335",2003-07-01
Main Pass Area,Central11089716,"2,477,O55",2003-08-01
   Main  Pass  Area,CENTRAL10133694,"2,248,400"
Main Pass Area,CENTRAL10878050,"2,386,797",2003-10-01
Main Pass Area,Central10094224,"2,18O,943",2003-11-01
   Main  Pass  Area,Central10257604,"2,318,291",2003-12-01
   Main  Pass  Area,CENTRAL10554064,"2,249,988"
Main Pass Area,Central10218402,"2,157,418",2004-02-01
Main Pass Area,Central11054135,"2,386,645",2004-03-01
   Main  Pass  Area,central10878317,"2,250,204",2004-04-01
   Main  Pass  Area,central,,,2004-05-01
   Main  Pass  Area,CEntral
Main Pass Area,Central11087908,"2,371,669",2004-07-01
Main Pass Area,Central11082614,"2,273,028",2004-08-01
Main Pass Area,CENTRAL4842374,"918,522",2004-09-01
Main Pass Area,CENTRAL4103400,"223,370",2004-10-01
   Main  Pass  Area,CEntral5121596,"789,229"
   Main  Pass  Area,central,,,2004-12-01
Main Pass Area,CENTRAL7153262,"1,407,675",2005-01-01
   Main  Pass  Area,CENTRAL6115011,"1,514,370"
   Main  Pass  Area,central,,,2005-03-01
Main Pass Area,Central9549767,"1,713,826",2005-04-01
Main Pass Area,CENTRAL9780103,"1,769,351",2005-05-01
Main Pass Area,CENTRAL8736362,"1,773,995",2005-06-01
Main Pass Area,CENTRAL9002261,"1,716,209",2005-07-01
Main Pass Area,Central9529026,"1,665,59O",2005-08-01
   Main  Pass  Area,central1231112,"17,261",2005-09-01
   Main  Pass  Area,central,,,2005-10-01
Main Pass Area,Central6909602,"1,O11,4O1",2005-11-01
Main Pass Area,Central8462299,"1,403,931",2005-12-01
   Main  Pass  Area,central9065334,"1,409,334",2006-01-01
   Main  Pass  Area,central6830023,"1,072,633",2006-02-01
   Main  Pass  Area,CEntral
Mississippi Canyon,Central14670988,"1,847,257",1996-01-01
Mississippi Canyon,Central14240996,"1,757,498",1996-02-01
Mississippi Canyon,Central14837782,"1,850,430",1996-03-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,Central14101952,"1,973,629",1996-05-01
   Mississippi  Canyon,central,,,1996-06-01
   Mississippi  Canyon,Central15309215,"2,628,687",1996-07-01
   Mississippi  Canyon,central14966119,"3,220,346",1996-08-01
Mississippi Canyon,Central14032303,"3,296,985",1996-09-01
Mississippi Canyon,CENTRAL16172860,"3,325,616",1996-10-01
   Mississippi  Canyon,central16883484,"3,708,631",1996-11-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,Central17174922,"4,255,955",1997-01-01
Mississippi Canyon,Central16564970,"4,204,370",1997-02-01
Mississippi Canyon,Central17126405,"4,755,777",1997-03-01
Mississippi Canyon,Central16262002,"4,453,773",1997-04-01
Mississippi Canyon,Central17498628,"5,039,558",1997-05-01
   Mississippi  Canyon,central17361802,"4,907,407",1997-06-01
Mississippi Canyon,Central18213107,"4,849,24O",1997-07-01
Mississippi Canyon,Central20474927,"4,830,908",1997-08-01
   Mississippi  Canyon,central19872937,"5,277,676",1997-09-01
Mississippi Canyon,CENTRAL19827908,"5,612,786",1997-10-01
   Mississippi  Canyon,Central18677530,"5,581,300",1997-11-01
   Mississippi  Canyon,central24657376,"6,017,545",1997-12-01
Mississippi Canyon,Central21146509,"5,963,368",1998-01-01
Mississippi Canyon,CENTRAL17694530,"5,369,524",1998-02-01
   Mississippi  Canyon,Central18126963,"5,771,214",1998-03-01
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,CEntral
Mississippi Canyon,CENTRAL22423939,"5,582,119",1998-06-01
Mississippi Canyon,CENTRAL19696717,"5,954,666",1998-07-01
Mississippi Canyon,Central20616934,"6,328,O75",1998-08-01
Mississippi Canyon,CENTRAL19239362,"4,693,331",1998-09-01
Mississippi Canyon,CENTRAL26386920,"5,970,406",1998-10-01
Mississippi Canyon,Central26245191,"6,213,676",1998-11-01
   Mississippi  Canyon,CENTRAL30910955,"6,653,026"
   Mississippi  Canyon,CEntral
Mississippi Canyon,CENTRAL27962143,"5,922,043",1999-02-01
Mississippi Canyon,CENTRAL30466799,"6,559,984",1999-03-01
Mississippi Canyon,Central28660111,"6,492,2OO",1999-04-01
Mississippi Canyon,CENTRAL28777752,"6,289,091",1999-05-01
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,central31727335,"7,535,960",1999-07-01
Mississippi Canyon,CENTRAL32050317,"7,786,310",1999-08-01
Mississippi Canyon,Central33740190,"7,7O2,168",1999-09-01
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,CEntral33852177,"7,039,859"
Mississippi Canyon,Central33644663,"6,946,235",2000-01-01
   Mississippi  Canyon,Central32630436,"7,970,782",2000-02-01
Mississippi Canyon,Central37146833,"9,759,9O8",2000-03-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,Central37494318,"10,817,925",2000-05-01
   Mississippi  Canyon,central,,,2000-06-01
Mississippi Canyon,Central37746437,"1O,953,752",2000-07-01
   Mississippi  Canyon,Central36773311,"10,881,239",2000-08-01
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,central35571484,"9,440,483",2000-10-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,CENTRAL39962333,"11,209,532",2000-12-01
   Mississippi  Canyon,Central39740147,"11,182,897",2001-01-01
Mississippi Canyon,CENTRAL34506553,"8,925,546",2001-02-01
   Mississippi  Canyon,central,,,2001-03-01
   Mississippi  Canyon,CENTRAL38197169,"11,218,919"
Mississippi Canyon,CENTRAL38233094,"11,156,101",2001-05-01
   Mississippi  Canyon,CEntral36540259,"10,726,765"
Mississippi Canyon,CENTRAL37013022,"11,200,450",2001-07-01
   Mississippi  Canyon,CENTRAL33415809,"9,668,182"
   Mississippi  Canyon,central38200013,"10,255,410",2001-09-01
Mississippi Canyon,Central37699165,"11,179,568",2001-10-01
Mississippi Canyon,CENTRAL39770832,"11,053,919",2001-11-01
Mississippi Canyon,Central40371871,"10,742,489",2001-12-01
   Mississippi  Canyon,CENTRAL39903549,"11,336,848"
Mississippi Canyon,CENTRAL35994892,"10,254,686",2002-02-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,Central41220776,"12,O29,283",2002-04-01
   Mississippi  Canyon,CEntral43603419,"13,153,132"
   Mississippi  Canyon,Central40339938,"12,564,057",2002-06-01
   Mississippi  Canyon,central41284733,"12,749,278",2002-07-01
Mississippi Canyon,CENTRAL40058479,"12,835,562",2002-08-01
Mississippi Canyon,CENTRAL33012517,"10,087,708",2002-09-01
Mississippi Canyon,CENTRAL33469645,"9,406,805",2002-10-01
Mississippi Canyon,CENTRAL42648098,"11,305,808",2002-11-01
Mississippi Canyon,CENTRAL46852615,"12,921,101",2002-12-01
Mississippi Canyon,Central49978720,"13,818,821",2003-01-01
Mississippi Canyon,Central46269166,"12,519,265",2003-02-01
Mississippi Canyon,Central52303260,"13,979,720",2003-03-01
Mississippi Canyon,Central52576199,"13,352,359",2003-04-01
   Mississippi  Canyon,central52885896,"13,271,159",2003-05-01
Mississippi Canyon,Central49226474,"13,422,995",2003-06-01
Mississippi Canyon,Central50398004,"12,898,342",2003-07-01
Mississippi Canyon,CENTRAL50466757,"13,272,203",2003-08-01
Mississippi Canyon,Central48565351,"13,749,911",2003-09-01
   Mississippi  Canyon,CEntral
Mississippi Canyon,Central48855463,"14,O99,161",2003-11-01
Mississippi Canyon,Central53774634,"14,772,238",2003-12-01
   Mississippi  Canyon,central55379795,"15,788,249",2004-01-01
   Mississippi  Canyon,CENTRAL53536451,"15,649,810"
Mississippi Canyon,Central56630559,"16,195,1O7",2004-03-01
Mississippi Canyon,CENTRAL56320453,"15,950,899",2004-04-01
Mississippi Canyon,Central56528072,"16,335,864",2004-05-01
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,Central60868843,"19,931,486",2004-07-01
   Mississippi  Canyon,CENTRAL54755448,"18,099,915"
   Mississippi  Canyon,central32098552,"10,974,746",2004-09-01
   Mississippi  Canyon,central40785632,"11,185,792",2004-10-01
Mississippi Canyon,Central52906885,"16,472,845",2004-11-01
   Mississippi  Canyon,central43342961,"17,725,287",2004-12-01
   Mississippi  Canyon,central46704428,"17,613,078",2005-01-01
Mississippi Canyon,CENTRAL46996425,"15,732,210",2005-02-01
   Mississippi  Canyon,central53106874,"17,496,519",2005-03-01
   Mississippi  Canyon,CEntral49206462,"16,413,878"
   Mississippi  Canyon,Central53391966,"17,458,874",2005-05-01
   Mississippi  Canyon,CEntral48519002,"15,494,485"
   Mississippi  Canyon,CEntral
   Mississippi  Canyon,central38416712,"13,687,727",2005-08-01
Mississippi Canyon,Central3492373,"1,641",2005-09-01
   Mississippi  Canyon,central18773592,"3,760,153",2005-10-01
Mississippi Canyon,CENTRAL23509656,"7,237,762",2005-11-01
Mississippi Canyon,CENTRAL30635083,"10,982,928",2005-12-01
Mississippi Canyon,CENTRAL32978554,"12,222,577",2006-01-01
Mississippi Canyon,Central28178992,"1O,295,763",2006-02-01
Mississippi Canyon,CENTRAL32685140,"10,540,870",2006-03-01
Mobile,Central12619411,"1,297",1996-01-01
   Mobile,central12133648,"1,689",1996-02-01
   Mobile,central,,,1996-03-01
   Mobile,CEntral
Mobile,Central12279786,"1,732",1996-05-01
Mobile,Central11958290,"1,960",1996-06-01
   Mobile,central,,,1996-07-01
Mobile,Central12471285,"1,O42",1996-08-01
   Mobile,central,,,1996-09-01
Mobile,CENTRAL11956614,"1,142",1996-10-01
Mobile,Central13399803,"2,018",1996-11-01
   Mobile,CEntral13420516,"1,941"
Mobile,Central14941861,"3,482",1997-01-01
   Mobile,CEntral
Mobile,Central18356821,"2,O87",1997-03-01
Mobile,Central18266839,"2,656",1997-04-01
Mobile,Central16727676,"1,892",1997-05-01
   Mobile,CEntral
Mobile,Central14738662,"1,178",1997-07-01
   Mobile,Central15097434,"2,971",1997-08-01
   Mobile,Central15119897,"2,190",1997-09-01
Mobile,CENTRAL15634211,"1,546",1997-10-01
Mobile,Central15574204,"2,78O",1997-11-01
Mobile,CENTRAL14687809,"1,468",1997-12-01
Mobile,Central14316757,"1,32O",1998-01-01
Mobile,CENTRAL13683250,"1,373",1998-02-01
Mobile,CENTRAL15241560,"2,165",1998-03-01
Mobile,Central13864260,"1,663",1998-04-01
Mobile,CENTRAL15280065,"2,049",1998-05-01
   Mobile,CEntral
Mobile,Central16689600,"1,4O8",1998-07-01
   Mobile,central15493547,702,1998-08-01
Mobile,CENTRAL11607070,968,1998-09-01
Mobile,Central13882064,"2,97O",1998-10-01
   Mobile,CEntral
Mobile,CENTRAL15236780,"1,741",1998-12-01
   Mobile,central,,,1999-01-01
Mobile,Central13094155,"1,773",1999-02-01
Mobile,CENTRAL14833814,"2,234",1999-03-01
   Mobile,central14138927,"2,206",1999-04-01
   Mobile,central13705340,"2,482",1999-05-01
Mobile,Central13852598,"2,561",1999-06-01
Mobile,Central13883525,"3,580",1999-07-01
Mobile,Central13433019,"1,369",1999-08-01
   Mobile,CEntral
   Mobile,CENTRAL12622860,"2,437"
   Mobile,CEntral12510378,"1,996"
   Mobile,central,,,1999-12-01
Mobile,Central12235560,"2,212",2000-01-01
Mobile,Central11005784,"1,198",2000-02-01
Mobile,Central11506429,"1,426",2000-03-01
Mobile,Central11963164,"1,455",2000-04-01
Mobile,CENTRAL12150494,"2,455",2000-05-01
   Mobile,central11293514,937,2000-06-01
   Mobile,central12432187,"1,043",2000-07-01
Mobile,Central12569569,"1,892",2000-08-01
   Mobile,central11547369,982,2000-09-01
Mobile,CENTRAL11557729,"1,644",2000-10-01
Mobile,Central11222358,"1,393",2000-11-01
Mobile,CENTRAL11671103,707,2000-12-01
   Mobile,Central12805411,"1,545",2001-01-01
   Mobile,central,,,2001-02-01
Mobile,CENTRAL12214047,"1,305",2001-03-01
Mobile,CENTRAL11692351,"2,058",2001-04-01
   Mobile,central11375350,"2,877",2001-05-01
   Mobile,CEntral
   Mobile,central10146830,819,2001-07-01
   Mobile,central10218528,"1,250",2001-08-01
   Mobile,central,,,2001-09-01
   Mobile,central,,,2001-10-01
   Mobile,central,,,2001-11-01
Mobile,CENTRAL9621800,"2,148",2001-12-01
Mobile,CENTRAL9113586,"2,486",2002-01-01
Mobile,Central8816800,"1,873",2002-02-01
   Mobile,central,,,2002-03-01
Mobile,Central10444899,"2,158",2002-04-01
Mobile,Central10451092,"2,O7O",2002-05-01
Mobile,CENTRAL10036636,"1,540",2002-06-01
Mobile,Central10212748,"2,221",2002-07-01
Mobile,Central10360641,"1,596",2002-08-01
   Mobile,Central9195112,"1,736",2002-09-01
   Mobile,Central9986763,792,2002-10-01
Mobile,Central9495443,"2,697",2002-11-01
Mobile,CENTRAL9803959,"1,393",2002-12-01
Mobile,Central9436627,683,2003-01-01
Mobile,Central8716700,326,2003-02-01
   Mobile,central9515657,748,2003-03-01
Mobile,CENTRAL8962358,410,2003-04-01
   Mobile,CEntral
   Mobile,CEntral
   Mobile,central8391304,873,2003-07-01
   Mobile,Central8356267,"1,831",2003-08-01
   Mobile,central,,,2003-09-01
Mobile,Central8902278,"1,446",2003-10-01
Mobile,CENTRAL8287191,473,2003-11-01
Mobile,CENTRAL8429918,349,2003-12-01
   Mobile,CEntral7143900,368
Mobile,CENTRAL6334552,273,2004-02-01
Mobile,Central8607785,899,2004-03-01
Mobile,CENTRAL7787682,"1,904",2004-04-01
Mobile,CENTRAL8181652,"1,123",2004-05-01
Mobile,CENTRAL8198319,"1,357",2004-06-01
   Mobile,central,,,2004-07-01
   Mobile,CEntral
   Mobile,CEntral5546736,"1,610"
Mobile,Central7477965,658,2004-10-01
Mobile,CENTRAL7110845,713,2004-11-01
   Mobile,CEntral
Mobile,CENTRAL7814131,"1,081",2005-01-01
Mobile,Central6948533,"1,O88",2005-02-01
Mobile,Central7545351,"1,O39",2005-03-01
Mobile,CENTRAL6770918,912,2005-04-01
Mobile,Central7218422,625,2005-05-01
   Mobile,CEntral
   Mobile,central,,,2005-07-01
   Mobile,CENTRAL6144838,852
Mobile,CENTRAL4276964,"1,215",2005-09-01
Mobile,Central5583589,189,2005-10-01
   Mobile,CEntral
   Mobile,CEntral
   Mobile,Central4398325,295,2006-01-01
Mobile,Central5891682,327,2006-02-01
Mobile,Central4217671,213,2006-03-01
   Sabine  Pass  Area,central391415,"18,877",1996-01-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central,,,1996-03-01
Sabine Pass Area,CENTRAL355328,"18,242",1996-04-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central325102,"16,191",1996-06-01
   Sabine  Pass  Area,CEntral326790,"16,216"
   Sabine  Pass  Area,CENTRAL327768,"15,836"
   Sabine  Pass  Area,Central321217,"15,260",1996-09-01
Sabine Pass Area,CENTRAL308852,"15,405",1996-10-01
   Sabine  Pass  Area,central,,,1996-11-01
   Sabine  Pass  Area,CEntral
Sabine Pass Area,Central289146,"15,746",1997-01-01
   Sabine  Pass  Area,central,,,1997-02-01
   Sabine  Pass  Area,Central316628,"15,160",1997-03-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central337513,"34,366",1997-05-01
   Sabine  Pass  Area,CEntral390087,"35,608"
   Sabine  Pass  Area,Central569493,"24,066",1997-07-01
   Sabine  Pass  Area,CENTRAL549092,"27,098"
Sabine Pass Area,Central469367,"22,612",1997-09-01
Sabine Pass Area,Central349774,"2O,O82",1997-10-01
   Sabine  Pass  Area,central330620,"20,966",1997-11-01
Sabine Pass Area,CENTRAL497724,"19,777",1997-12-01
   Sabine  Pass  Area,CEntral
Sabine Pass Area,CENTRAL493166,"17,601",1998-02-01
Sabine Pass Area,Central561249,"2O,953",1998-03-01
Sabine Pass Area,Central522897,"2O,563",1998-04-01
   Sabine  Pass  Area,central556605,"20,759",1998-05-01
Sabine Pass Area,CENTRAL544643,"17,317",1998-06-01
   Sabine  Pass  Area,CENTRAL538536,"18,795"
   Sabine  Pass  Area,CEntral
Sabine Pass Area,CENTRAL423970,"17,578",1998-09-01
   Sabine  Pass  Area,central,,,1998-10-01
   Sabine  Pass  Area,Central497137,"15,644",1998-11-01
   Sabine  Pass  Area,central,,,1998-12-01
Sabine Pass Area,Central506515,"2O,191",1999-01-01
   Sabine  Pass  Area,CEntral419666,"12,794"
   Sabine  Pass  Area,central,,,1999-03-01
Sabine Pass Area,Central446256,"13,446",1999-04-01
Sabine Pass Area,Central437787,"22,162",1999-05-01
Sabine Pass Area,Central415245,"12,765",1999-06-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,CENTRAL450413,"13,436"
   Sabine  Pass  Area,central,,,1999-09-01
Sabine Pass Area,CENTRAL405998,"14,626",1999-10-01
   Sabine  Pass  Area,CENTRAL377201,"22,159"
   Sabine  Pass  Area,central,,,1999-12-01
Sabine Pass Area,CENTRAL361213,"17,850",2000-01-01
Sabine Pass Area,CENTRAL327481,"22,349",2000-02-01
Sabine Pass Area,Central361780,"13,8O9",2000-03-01
Sabine Pass Area,Central340361,"17,454",2000-04-01
   Sabine  Pass  Area,Central352691,"21,119",2000-05-01
Sabine Pass Area,CENTRAL333876,"11,955",2000-06-01
Sabine Pass Area,Central332388,"13,074",2000-07-01
Sabine Pass Area,CENTRAL332037,"21,973",2000-08-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central,,,2000-10-01
Sabine Pass Area,CENTRAL260970,"11,513",2000-11-01
Sabine Pass Area,CENTRAL261005,"13,862",2000-12-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,Central291982,"15,781",2001-02-01
Sabine Pass Area,Central287592,"20,229",2001-03-01
   Sabine  Pass  Area,central223830,"21,331",2001-04-01
   Sabine  Pass  Area,central,,,2001-05-01
Sabine Pass Area,Central215226,"18,148",2001-06-01
Sabine Pass Area,Central231362,"25,114",2001-07-01
   Sabine  Pass  Area,CENTRAL228279,"20,192"
Sabine Pass Area,CENTRAL222285,"23,629",2001-09-01
   Sabine  Pass  Area,CENTRAL203902,"18,813"
Sabine Pass Area,Central226370,"26,657",2001-11-01
Sabine Pass Area,Central208304,"23,746",2001-12-01
   Sabine  Pass  Area,central208251,"23,205",2002-01-01
Sabine Pass Area,Central198530,"25,516",2002-02-01
Sabine Pass Area,CENTRAL214745,"21,182",2002-03-01
   Sabine  Pass  Area,central254199,"18,575",2002-04-01
   Sabine  Pass  Area,central320404,"25,200",2002-05-01
Sabine Pass Area,Central286485,"17,72O",2002-06-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central,,,2002-08-01
Sabine Pass Area,Central203557,"12,889",2002-09-01
   Sabine  Pass  Area,CEntral
Sabine Pass Area,Central217600,"19,925",2002-11-01
Sabine Pass Area,Central128707,"18,298",2002-12-01
   Sabine  Pass  Area,central,,,2003-01-01
   Sabine  Pass  Area,central,,,2003-02-01
Sabine Pass Area,Central366541,"19,974",2003-03-01
Sabine Pass Area,Central363920,"18,O85",2003-04-01
   Sabine  Pass  Area,CEntral449854,"17,799"
   Sabine  Pass  Area,CEntral467595,"22,108"
Sabine Pass Area,Central651227,"18,430",2003-07-01
Sabine Pass Area,CENTRAL560489,"23,424",2003-08-01
   Sabine  Pass  Area,Central532660,"22,248",2003-09-01
   Sabine  Pass  Area,central556363,"22,084",2003-10-01
Sabine Pass Area,CENTRAL514572,"20,864",2003-11-01
Sabine Pass Area,CENTRAL473328,"19,059",2003-12-01
   Sabine  Pass  Area,central,,,2004-01-01
   Sabine  Pass  Area,central,,,2004-02-01
   Sabine  Pass  Area,CEntral
   Sabine  Pass  Area,central,,,2004-04-01
Sabine Pass Area,Central461736,"18,281",2004-05-01
   Sabine  Pass  Area,central378328,"17,530",2004-06-01
Sabine Pass Area,Central410174,"16,851",2004-07-01
   Sabine  Pass  Area,Central386814,"16,860",2004-08-01
   Sabine  Pass  Area,central,,,2004-09-01
   Sabine  Pass  Area,central231324,"18,343",2004-10-01
   Sabine  Pass  Area,CEntral
Sabine Pass Area,Central202503,"12,619",2004-12-01
   Sabine  Pass  Area,central280707,"17,773",2005-01-01
   Sabine  Pass  Area,central334700,"16,472",2005-02-01
Sabine Pass Area,CENTRAL435566,"16,571",2005-03-01
   Sabine  Pass  Area,central436339,"16,430",2005-04-01
Sabine Pass Area,CENTRAL397829,"17,110",2005-05-01
Sabine Pass Area,Central389780,"12,066",2005-06-01
   Sabine  Pass  Area,Central432718,"11,118",2005-07-01
Sabine Pass Area,Central393988,"7,863",2005-08-01
Sabine Pass Area,CENTRAL256877,"10,053",2005-09-01
Sabine Pass Area,Central252799,928,2005-10-01
   Sabine  Pass  Area,central362520,"12,675",2005-11-01
   Sabine  Pass  Area,central378120,"16,249",2005-12-01
   Sabine  Pass  Area,CEntral346166,"14,336"
   Sabine  Pass  Area,central,,,2006-02-01
   Sabine  Pass  Area,central,,,2006-03-01
Ship Shoal Area,CENTRAL28283972,"2,508,508",1996-01-01
   Ship  Shoal  Area,CENTRAL26607545,"2,366,051"
   Ship  Shoal  Area,CEntral28306866,"2,624,139"
   Ship  Shoal  Area,central,,,1996-04-01
   Ship  Shoal  Area,CEntral
Ship Shoal Area,CENTRAL29044267,"2,784,450",1996-06-01
Ship Shoal Area,Central28816518,"2,817,156",1996-07-01
   Ship  Shoal  Area,central29613497,"2,787,716",1996-08-01
   Ship  Shoal  Area,CEntral
Ship Shoal Area,CENTRAL26409621,"2,638,031",1996-10-01
Ship Shoal Area,Central25790878,"2,547,539",1996-11-01
Ship Shoal Area,Central26661530,"2,653,7OO",1996-12-01
Ship Shoal Area,Central25783878,"2,755,472",1997-01-01
Ship Shoal Area,Central22722533,"2,581,681",1997-02-01
   Ship  Shoal  Area,CENTRAL25234345,"3,013,210"
Ship Shoal Area,Central24325937,"3,028,537",1997-04-01
Ship Shoal Area,CENTRAL25219334,"3,075,001",1997-05-01
