Serial	Metro	County FIPS	Mortgage Payment	Household Income	Home Value
236571	4	0	$420	$29,040	$85,000
236929	3	19	$690	$31,700	$112,500
237072	4	105	$600	$48,000	$32,500
237073	3	0	$2,000	$34,000	$350,000
237407	4	5	$340	$21,000	$37,500
237623	2	71	$1,200	$50,000	$350,000
237876	0	0	$210	$32,000	$12,500
238063	3	99	$450	$33,000	$137,500
238197	4	99	$490	$40,000	$162,500
238477	4	5	$840	$41,600	$85,000
239012	2	0	$640	$1,700	$112,500
239241	4	57	$400	$45,400	$45,000
239552	4	0	$210	$50,000	$5,000
239699	3	113	$300	$71,310	$55,000
239855	3	69	$500	$20,000	$55,000
240037	4	103	$810	$97,500	$187,500
240910	4	105	$1,700	$120,000	$625,000
241017	4	105	$440	$14,600	$55,000
241423	4	105	$430	$76,000	$65,000
241502	3	57	$550	$34,000	$55,000
241729	3	83	$3,000	$45,200	$275,000
242090	4	83	$400	$75,000	$162,500
242193	4	95	$1,400	$61,500	$162,500
242517	4	9	$940	$59,600	$162,500
242761	4	105	$700	$33,400	$225,000
242784	3	109	$1,000	$125,000	$225,000
242814	1	0	$380	$52,100	$65,000
242822	3	0	$1,000	$72,000	$350,000
242851	4	0	$830	$69,000	$112,500
243099	4	5	$800	$71,200	$275,000
243263	3	57	$510	$54,000	$187,500
243402	3	101	$300	$30,000	$32,500
243621	2	0	$350	$51,000	$95,000
243643	1	0	$510	$77,200	$75,000
243645	4	0	$150	$18,000	$17,500
244010	3	0	$380	$37,000	$225,000
244114	3	113	$600	$56,000	$137,500
244688	3	57	$240	$18,000	$75,000
244768	3	97	$1,000	$37,100	$162,500
244828	4	127	$560	$50,404	$112,500
245371	3	0	$700	$29,400	$187,500
245412	4	5	$400	$54,000	$162,500
245742	3	0	$3,400	$150,300	$625,000
245878	2	0	$400	$17,000	$75,000
246504	1	0	$650	$38,920	$112,500
246698	4	9	$300	$54,100	$17,500
246974	3	71	$2,200	$125,000	$625,000
247172	2	0	$680	$97,800	$112,500
247184	4	99	$150	$38,800	$27,500
247303	4	105	$400	$30,000	$55,000
247432	3	101	$290	$75,800	$45,000
247555	4	0	$300	$24,000	$22,500
247728	4	95	$600	$90,100	$95,000
248123	4	103	$600	$53,800	$112,500
248141	4	127	$500	$8,200	$65,000
248595	3	57	$380	$81,000	$65,000
248953	4	9	$300	$24,000	$32,500
249179	4	0	$560	$49,040	$27,500
249380	2	0	$1,100	$70,000	$187,500
249391	0	0	$300	$126,900	$112,500
249829	2	71	$900	$70,000	$187,500
249921	3	0	$830	$60,000	$137,500
250292	4	103	$910	$97,000	$137,500
250572	1	0	$500	$7,600	$162,500
250650	4	99	$2,000	$92,000	$450,000
250653	4	71	$790	$5,000	$162,500
250866	3	95	$500	$34,800	$75,000
250876	4	105	$600	$24,500	$85,000
250880	3	69	$1,400	$11,100	$225,000
250895	4	1	$1,400	$90,000	$225,000
251557	4	105	$340	$50,000	$137,500
251697	3	0	$2,200	$53,000	$350,000
251721	4	95	$900	$112,000	$275,000
251788	4	71	$1,000	$200,000	$275,000
252120	3	57	$1,200	$17,600	$162,500
252150	4	83	$850	$115,000	$162,500
252445	2	0	$600	$52,000	$137,500
252508	3	0	$730	$23,000	$162,500
252531	2	0	$580	$16,600	$65,000
252602	1	0	$1,200	$30,600	$225,000
252690	4	1	$360	$41,100	$162,500
252773	4	33	$790	$94,000	$225,000
253017	4	99	$2,300	$15,600	$162,500
253177	4	105	$250	$33,700	$17,500
253188	3	81	$600	$54,400	$112,500
253387	4	105	$1,000	$136,400	$225,000
253453	4	11	$150	$26,500	$37,500
253531	3	99	$760	$67,200	$187,500
253813	4	15	$360	$118,064	$137,500
253839	4	57	$800	$45,000	$95,000
253948	3	53	$250	$12,000	$17,500
254144	4	99	$400	$5,000	$27,500
254354	4	103	$1,400	$55,000	$187,500
254413	4	99	$920	$32,300	$187,500
254465	4	103	$670	$84,200	$187,500
254681	4	0	$1,100	$65,500	$162,500
254690	3	0	$900	$41,820	$187,500
255361	3	0	$800	$18,000	$187,500
255410	3	11	$100	$10,600	$12,500
255637	3	103	$350	$12,400	$65,000
256019	4	0	$460	$53,000	$187,500
256242	3	83	$500	$40,500	$95,000
256547	1	0	$220	$29,500	$22,500
256606	3	83	$120	$10,490	$65,000
256709	4	105	$530	$20,100	$75,000
257028	0	0	$180	$14,900	$17,500
257182	4	33	$780	$65,000	$112,500
257252	3	57	$200	$53,600	$37,500
258039	4	0	$1,300	$12,400	$162,500
258220	3	85	$900	$61,900	$65,000
258252	3	0	$400	$3,600	$162,500
258542	3	113	$230	$39,000	$45,000
258645	4	105	$120	$10,200	$55,000
258698	4	57	$730	$27,500	$112,500
258761	3	0	$1,800	$358,800	$625,000
259626	4	1	$470	$36,520	$27,500
259913	3	0	$1,300	$27,300	$450,000
260258	4	21	$5,900	$346,000	$1,000,000
260939	3	113	$200	$37,900	$37,500
260959	4	99	$2,000	$87,300	$350,000
261350	4	105	$250	$29,500	$5,000
261645	4	33	$460	$16,000	$95,000
261647	3	0	$450	$5,400	$95,000
261958	3	83	$390	$27,000	$55,000
262091	0	0	$290	$4,000	$22,500
262698	4	9	$780	$123,330	$275,000
262767	4	0	$940	$32,000	$162,500
263114	3	11	$1,100	$61,000	$350,000
263191	4	95	$1,400	$42,000	$275,000
263419	3	113	$200	$19,000	$45,000
263894	4	57	$350	$37,910	$22,500
264066	3	11	$1,000	$67,000	$350,000
264164	3	0	$4,000	$110,000	$875,000
264610	0	0	$1,100	$6,000	$625,000
264713	3	0	$410	$18,900	$137,500
264749	3	117	$470	$9,200	$85,000
264834	3	11	$2,200	$170,000	$450,000
264836	4	57	$360	$50,000	$187,500
264872	3	11	$2,000	$50,460	$450,000
265013	4	127	$700	$30,000	$112,500
265230	3	0	$2,400	$78,000	$450,000
265314	3	57	$480	$4,100	$137,500
265362	4	105	$590	$104,400	$55,000
265494	4	105	$600	$36,200	$45,000
265749	4	99	$800	$32,000	$225,000
265758	4	57	$400	$55,200	$162,500
266022	3	0	$1,500	$22,300	$625,000
266375	4	103	$980	$28,000	$187,500
266532	4	91	$330	$12,200	$75,000
266553	4	105	$80	$23,000	$5,000
266695	4	127	$370	$48,000	$5,000
266886	4	71	$1,000	$4,700	$1,000,000
267331	3	0	$810	$29,000	$162,500
267397	4	95	$710	$49,000	$162,500
267414	3	99	$1,600	$100,000	$450,000
267471	0	0	$440	$33,600	$45,000
267695	3	117	$500	$31,000	$162,500
267723	3	0	$1,700	$90,500	$350,000
268059	4	0	$700	$20,000	$112,500
268381	1	0	$200	$16,900	$112,500
268454	4	127	$160	$13,200	$75,000
268498	4	33	$800	$58,500	$112,500
268740	3	0	$1,100	$65,770	$112,500
268891	4	95	$880	$98,000	$225,000
269403	4	103	$480	$65,200	$112,500
269416	4	0	$680	$52,600	$137,500
269761	4	105	$900	$24,640	$137,500
269793	4	71	$50	$9,000	$5,000
269954	4	103	$1,000	$50,000	$225,000
270348	3	21	$850	$30,000	$875,000
270649	2	0	$500	$25,000	$37,500
271149	3	21	$1,900	$57,000	$625,000
271178	4	5	$470	$46,000	$112,500
271250	4	103	$1,100	$31,900	$75,000
271303	4	11	$920	$77,000	$187,500
271604	4	11	$990	$50,800	$225,000
271770	3	11	$2,300	$117,000	$350,000
271896	1	0	$500	$55,000	$45,000
272092	1	0	$940	$86,300	$187,500
272147	4	105	$360	$54,250	$75,000
272190	4	33	$940	$58,000	$187,500
272460	4	0	$450	$96,800	$625,000
272685	4	127	$390	$22,100	$75,000
272755	4	57	$550	$42,700	$85,000
272969	3	0	$560	$10,500	$137,500
273095	4	57	$1,300	$71,000	$187,500
273258	3	99	$1,000	$103,500	$225,000
273269	3	113	$480	$10,500	$45,000
273533	2	0	$370	$23,190	$45,000
273791	3	0	$1,200	$24,000	$187,500
274064	2	0	$270	$63,100	$22,500
274330	1	0	$150	$19,200	$22,500
274478	3	11	$650	$12,000	$112,500
274688	3	57	$1,200	$82,600	$162,500
274694	4	33	$1,100	$40,000	$162,500
274844	4	95	$900	$10,800	$187,500
274942	3	83	$960	$26,240	$112,500
275017	3	97	$930	$18,000	$162,500
275499	4	127	$330	$13,000	$85,000
275555	4	99	$370	$71,100	$65,000
275906	3	101	$790	$85,000	$137,500
275961	4	103	$450	$10,000	$65,000
275973	3	71	$280	$44,010	$45,000
275974	4	105	$460	$14,310	$75,000
276092	1	0	$360	$28,832	$187,500
276251	3	53	$350	$33,400	$32,500
276403	3	0	$1,600	$16,000	$350,000
276430	4	105	$1,000	$74,000	$95,000
276473	4	105	$480	$15,500	$55,000
276577	4	57	$380	$50,200	$45,000
277155	4	0	$2,300	$56,000	$275,000
277191	0	0	$1,100	$100,000	$1,000,000
277349	4	99	$800	$31,200	$225,000
277482	3	11	$600	$46,944	$137,500
277513	4	33	$720	$44,000	$137,500
277903	3	11	$570	$38,200	$350,000
278200	1	0	$400	$10,000	$65,000
278287	3	71	$500	$21,000	$55,000
278476	4	57	$1,000	$38,000	$225,000
278512	3	0	$900	$35,000	$187,500
278557	3	83	$530	$59,250	$137,500
278728	3	97	$1,200	$347,000	$275,000
278862	3	69	$660	$75,000	$112,500
279022	4	0	$1,200	$26,900	$137,500
279236	4	99	$520	$98,000	$225,000
279381	4	0	$500	$39,000	$65,000
279492	2	0	$150	$35,500	$95,000
279552	4	81	$480	$9,800	$65,000
279559	4	115	$350	$45,200	$187,500
279566	4	9	$1,200	$45,000	$450,000
279654	4	0	$780	$76,300	$162,500
279685	3	115	$210	$50,200	$112,500
279950	3	0	$230	$35,100	$75,000
280172	3	11	$450	$58,000	$350,000
280188	3	115	$1,100	$27,200	$350,000
280612	3	117	$490	$90,900	$55,000
280694	3	11	$1,500	$100,030	$625,000
280755	4	127	$900	$68,000	$137,500
281126	3	117	$500	$52,000	$112,500
281187	4	105	$770	$52,100	$162,500
281320	4	115	$700	$22,900	$625,000
281346	4	105	$400	$31,000	$85,000
281420	4	0	$1,400	$48,000	$275,000
281436	4	15	$820	$71,000	$875,000
281737	3	109	$960	$55,000	$225,000
281779	2	0	$650	$51,740	$85,000
281782	4	105	$640	$28,000	$162,500
282034	3	69	$840	$16,000	$187,500
282072	3	101	$860	$62,000	$350,000
282117	3	101	$550	$25,800	$45,000
282724	4	0	$600	$11,000	$112,500
282817	3	101	$380	$11,600	$37,500
282926	4	105	$600	$60,900	$137,500
283208	3	0	$950	$37,000	$187,500
283427	2	0	$1,200	$186,500	$162,500
283716	3	11	$1,200	$110,000	$225,000
284075	4	71	$400	$13,000	$12,500
284125	4	99	$1,300	$82,000	$225,000
284172	3	113	$880	$40,000	$225,000
284704	3	81	$3,400	$328,000	$625,000
284751	4	1	$790	$53,500	$85,000
284802	3	53	$580	$15,300	$162,500
285006	4	0	$650	$5,600	$162,500
285119	1	0	$230	$600	$85,000
285211	4	1	$500	$16,600	$75,000
285466	4	127	$590	$37,970	$162,500
285646	4	95	$2,800	$87,000	$350,000
285788	4	0	$180	$22,000	$22,500
285892	3	117	$690	$37,000	$55,000
286230	4	11	$1,400	$46,000	$112,500
286334	3	109	$2,200	$21,400	$450,000
286355	4	127	$1,100	$81,000	$112,500
286635	3	101	$430	$58,200	$95,000
286714	3	0	$940	$33,000	$162,500
286923	4	127	$330	$40,000	$95,000
287157	4	1	$620	$43,300	$85,000
287184	1	0	$620	$70,000	$225,000
287714	4	105	$1,700	$15,000	$275,000
287896	4	11	$580	$75,200	$55,000
287916	3	57	$400	$44,600	$55,000
287937	3	101	$500	$51,200	$27,500
288277	4	57	$910	$60,110	$187,500
288455	4	5	$600	$52,000	$162,500
288830	3	0	$1,000	$19,000	$275,000
288856	4	105	$900	$51,500	$275,000
288907	4	71	$470	$67,500	$350,000
289129	4	83	$710	$41,300	$112,500
289196	2	0	$740	$40,000	$112,500
289217	4	5	$60	$44,000	$85,000
289366	4	0	$620	$9,900	$162,500
289407	4	9	$800	$126,300	$112,500
289760	1	0	$80	$40,000	$27,500
289839	4	103	$450	$50,700	$75,000
289977	2	0	$310	$36,800	$5,000
290158	4	127	$880	$50,000	$137,500
290387	1	0	$900	$59,000	$85,000
290995	4	103	$1,000	$63,700	$187,500
291114	4	111	$750	$34,000	$225,000
291205	4	103	$1,300	$79,000	$225,000
291525	4	105	$590	$16,700	$85,000
291691	3	0	$570	$20,890	$162,500
291787	4	95	$920	$16,000	$137,500
291854	3	11	$1,200	$63,000	$112,500
292044	4	105	$400	$48,700	$85,000
292061	4	103	$350	$41,860	$17,500
292157	3	83	$350	$87,700	$37,500
292619	4	57	$650	$87,000	$85,000
293037	4	115	$1,600	$63,000	$350,000
293223	4	105	$360	$32,000	$37,500
293842	4	57	$240	$45,050	$95,000
294072	3	113	$440	$45,000	$85,000
294268	3	97	$1,100	$47,000	$225,000
294369	3	117	$2,000	$85,000	$350,000
294415	0	0	$2,500	$50,000	$1,000,000
294569	3	99	$910	$18,600	$162,500
294902	3	11	$110	$640	$95,000
295105	3	0	$1,600	$45,000	$275,000
295198	4	9	$1,000	$48,000	$350,000
295301	3	0	$1,500	$58,000	$275,000
295431	3	53	$830	$23,000	$162,500
295440	3	57	$1,100	$7,000	$187,500
295561	3	0	$1,200	$189,000	$350,000
295626	1	0	$340	$24,000	$37,500
295635	4	105	$980	$101,730	$187,500
295837	3	53	$240	$8,400	$75,000
295849	3	97	$500	$46,000	$65,000
296112	4	1	$460	$41,800	$95,000
296257	4	57	$400	$32,000	$75,000
296595	4	21	$800	$26,400	$275,000
297134	3	69	$930	$65,001	$137,500
297357	1	0	$500	$34,240	$95,000
297794	3	81	$680	$77,530	$137,500
297929	4	83	$420	$30,000	$22,500
298067	2	0	$460	$6,900	$75,000
298109	4	1	$470	$42,000	$112,500
298442	2	0	$500	$9,400	$55,000
298608	4	33	$610	$47,300	$95,000
298631	4	83	$490	$15,000	$55,000
298727	1	0	$840	$66,600	$225,000
298752	3	117	$1,000	$32,000	$187,500
298821	4	71	$630	$22,600	$137,500
299007	1	0	$540	$13,400	$65,000
299026	4	1	$320	$30,100	$65,000
299139	4	0	$380	$67,000	$95,000
300242	3	11	$1,100	$98,900	$350,000
300323	4	99	$1,000	$54,400	$187,500
300338	3	83	$210	$7,200	$225,000
300664	4	99	$850	$42,800	$162,500
300794	3	11	$1,400	$85,000	$450,000
300945	4	99	$1,300	$117,190	$350,000
301198	4	33	$690	$35,000	$85,000
301469	4	21	$400	$31,600	$112,500
301503	3	69	$390	$74,900	$225,000
301774	4	0	$2,100	$9,000	$350,000
302225	3	69	$800	$53,000	$112,500
302409	4	15	$400	$30,010	$137,500
302432	3	0	$1,400	$45,000	$350,000
302689	4	33	$480	$59,720	$5,000
302944	3	71	$500	$72,500	$85,000
303108	0	0	$440	$33,900	$37,500
303208	4	95	$730	$62,000	$187,500
303662	4	81	$780	$17,600	$137,500
303992	4	0	$310	$42,600	$45,000
304075	3	53	$750	$62,000	$95,000
304101	3	97	$1,300	$30,000	$187,500
304185	4	0	$510	$25,100	$85,000
304362	0	0	$330	$48,600	$55,000
304428	4	127	$790	$17,900	$85,000
304439	4	99	$1,400	$75,000	$275,000
304463	4	9	$250	$21,700	$22,500
304587	4	57	$670	$10,760	$112,500
304741	1	0	$600	$50,900	$85,000
304868	3	101	$1,300	$94,820	$450,000
305621	3	0	$1,500	$28,230	$225,000
305643	3	83	$540	$66,300	$137,500
305875	4	127	$370	$27,690	$85,000
306054	3	69	$400	$17,000	$75,000
306082	4	57	$450	$29,000	$187,500
306100	4	71	$700	$70,700	$225,000
307859	4	0	$800	$0	$162,500
307903	1	0	$300	$8,100	$45,000
308124	4	95	$700	$39,000	$112,500
308162	1	0	$280	$80,000	$65,000
308243	2	0	$1,200	$110,400	$225,000
308255	4	33	$300	$31,900	$32,500
308446	3	115	$180	$52,440	$45,000
308625	4	99	$2,000	$47,000	$625,000
308712	1	0	$370	$47,400	$17,500
308836	2	71	$1,100	$90,700	$225,000
308926	4	81	$660	$37,000	$137,500
309107	2	0	$1,900	$77,000	$275,000
309196	3	11	$300	$10,800	$95,000
309612	3	117	$1,200	$118,000	$275,000
309669	4	9	$690	$36,600	$137,500
309855	4	95	$980	$37,500	$37,500
310051	4	57	$600	$60,000	$137,500
310127	4	83	$890	$87,100	$162,500
310399	3	69	$1,200	$62,000	$225,000
310441	3	113	$180	$47,000	$22,500
310562	4	103	$260	$5,000	$12,500
310854	4	111	$700	$16,804	$225,000
310895	1	0	$350	$35,390	$65,000
311068	4	57	$700	$32,000	$162,500
311225	4	11	$680	$9,500	$450,000
311254	1	0	$500	$13,400	$95,000
311593	4	0	$510	$44,000	$95,000
311663	4	5	$600	$60,000	$112,500
311879	2	103	$3,000	$62,000	$1,000,000
312226	3	99	$770	$48,200	$162,500
312308	2	0	$270	$69,250	$350,000
312394	4	21	$1,500	$55,100	$275,000
312442	1	0	$100	$22,000	$5,000
312493	4	83	$600	$51,900	$95,000
312526	4	0	$500	$22,100	$85,000
312675	2	0	$920	$98,000	$187,500
312832	4	0	$840	$56,000	$162,500
313165	3	69	$440	$26,000	$85,000
313220	3	81	$510	$37,500	$112,500
313346	4	0	$750	$57,500	$187,500
313528	4	57	$1,000	$131,000	$225,000
313552	4	111	$200	$12,000	$5,000
313742	1	0	$500	$18,300	$137,500
314806	4	9	$600	$35,000	$162,500
314895	4	95	$970	$59,900	$187,500
315325	1	0	$530	$64,600	$95,000
315395	1	0	$550	$97,900	$137,500
315453	4	21	$400	$44,060	$85,000
315562	3	51	$3,400	$82,400	$450,000
315739	3	63	$340	$15,080	$22,500
315824	1	0	$200	$3,300	$5,000
315863	1	0	$860	$34,200	$95,000
316053	1	139	$150	$26,800	$5,000
316080	1	0	$360	$23,000	$37,500
316185	3	89	$300	$25,000	$85,000
316210	3	0	$270	$64,000	$32,500
316228	2	121	$530	$45,710	$112,500
316437	4	245	$400	$19,400	$37,500
316592	0	0	$330	$114,000	$75,000
316634	1	0	$180	$30,000	$55,000
316728	3	57	$1,200	$40,000	$137,500
316741	3	135	$1,800	$111,300	$275,000
317500	3	67	$1,900	$122,200	$162,500
317524	1	0	$400	$33,500	$55,000
317555	3	0	$700	$31,100	$137,500
317800	4	245	$190	$57,100	$32,500
317831	1	139	$1,100	$48,000	$112,500
318034	2	51	$630	$147,000	$162,500
318236	3	135	$1,400	$54,400	$162,500
318244	3	89	$1,400	$261,000	$350,000
318335	3	63	$820	$57,290	$112,500
318463	1	0	$410	$40,200	$65,000
318504	1	0	$220	$12,000	$45,000
318512	4	0	$270	$16,000	$17,500
318603	3	0	$150	$1,200	$22,500
318683	4	215	$350	$45,000	$12,500
318891	1	139	$1,300	$58,600	$137,500
318955	4	245	$560	$66,600	$85,000
318957	3	0	$860	$155,000	$162,500
319125	1	0	$600	$100,000	$112,500
319211	1	0	$400	$27,000	$55,000
319246	0	0	$220	$12,800	$45,000
319516	1	0	$460	$27,000	$85,000
319636	0	0	$520	$58,300	$85,000
319735	1	0	$310	$51,600	$45,000
319945	3	135	$1,700	$121,000	$225,000
320078	3	63	$900	$25,000	$112,500
320091	3	67	$1,700	$138,080	$225,000
320295	4	21	$620	$12,400	$65,000
320327	3	0	$1,200	$82,750	$350,000
320335	1	0	$750	$59,900	$112,500
320554	3	89	$3,000	$362,400	$625,000
320626	1	0	$300	$37,500	$65,000
320708	3	63	$1,000	$7,600	$162,500
320749	1	0	$400	$53,600	$45,000
320962	3	89	$450	$43,800	$75,000
321164	3	67	$970	$35,000	$137,500
321265	1	0	$270	$34,200	$27,500
321409	2	121	$1,500	$177,000	$275,000
321594	3	0	$1,300	$96,000	$137,500
321730	1	0	$300	$21,300	$32,500
321746	1	0	$890	$25,000	$85,000
321777	4	215	$690	$66,820	$95,000
321894	1	0	$360	$16,870	$85,000
321940	4	0	$1,300	$68,400	$350,000
322216	3	0	$400	$48,000	$85,000
322490	3	135	$940	$61,000	$112,500
322543	1	0	$1,500	$103,500	$187,500
322568	3	121	$900	$48,000	$162,500
323084	3	0	$850	$32,500	$112,500
323143	3	67	$250	$24,500	$5,000
323162	3	89	$360	$83,000	$112,500
323174	4	215	$750	$28,000	$112,500
323198	1	0	$200	$22,000	$17,500
323200	1	0	$160	$28,000	$45,000
323245	1	0	$320	$40,400	$22,500
323255	1	0	$800	$37,000	$85,000
323403	1	0	$400	$17,400	$65,000
323495	1	0	$500	$60,000	$85,000
323569	4	89	$1,700	$400,000	$450,000
323608	4	215	$600	$13,000	$55,000
323938	3	89	$760	$10,620	$162,500
324031	1	0	$1,600	$54,300	$162,500
324703	3	89	$600	$45,500	$450,000
324885	0	0	$280	$18,800	$17,500
325059	4	121	$700	$102,000	$137,500
325153	1	0	$160	$50,000	$5,000
325205	1	0	$640	$28,000	$65,000
325244	4	21	$250	$18,100	$55,000
325246	3	0	$880	$43,000	$112,500
325512	1	0	$230	$15,000	$55,000
325521	3	67	$1,500	$121,500	$275,000
325548	1	0	$610	$39,500	$75,000
325684	1	0	$480	$59,000	$45,000
325796	3	63	$860	$52,000	$95,000
326106	3	0	$1,800	$12,000	$350,000
326337	3	51	$1,500	$84,600	$137,500
326702	4	21	$800	$23,404	$225,000
326910	3	67	$700	$16,500	$112,500
326934	4	89	$900	$45,000	$875,000
327131	4	0	$2,800	$224,000	$625,000
327142	4	245	$860	$15,000	$112,500
327194	3	89	$1,800	$51,000	$350,000
327257	3	0	$1,000	$38,000	$162,500
327357	1	139	$710	$30,000	$162,500
327566	1	0	$240	$13,700	$12,500
327684	3	57	$870	$90,000	$162,500
327795	1	0	$380	$37,500	$75,000
327804	3	135	$1,300	$45,000	$137,500
327830	1	0	$570	$31,000	$55,000
327914	3	135	$1,200	$74,080	$137,500
327937	1	0	$320	$40,000	$45,000
328022	3	0	$800	$41,200	$137,500
328107	4	0	$350	$42,700	$5,000
328231	1	0	$240	$58,700	$32,500
328322	4	245	$350	$16,000	$55,000
328519	1	0	$130	$28,700	$37,500
328693	1	0	$250	$46,900	$37,500
328838	3	63	$1,000	$58,000	$162,500
329003	4	89	$600	$40,000	$187,500
329081	1	0	$400	$7,300	$37,500
329281	3	135	$1,100	$39,000	$225,000
329316	1	0	$420	$15,000	$55,000
329429	3	135	$340	$13,000	$17,500
329459	3	135	$1,200	$55,000	$225,000
329474	0	0	$340	$10,400	$17,500
329512	3	0	$3,100	$220,500	$450,000
329641	3	0	$600	$245,900	$162,500
329787	0	0	$310	$35,470	$17,500
329813	3	89	$560	$44,240	$95,000
329818	1	0	$380	$32,000	$55,000
329834	3	0	$250	$46,200	$17,500
329842	0	0	$1,300	$0	$225,000
329958	1	0	$820	$21,000	$85,000
330002	3	0	$330	$64,000	$22,500
330089	1	0	$280	$37,000	$22,500
330271	3	0	$450	$84,200	$95,000
330284	4	121	$670	$64,400	$112,500
330292	3	0	$900	$35,000	$112,500
330345	4	21	$400	$32,000	$75,000
330576	1	0	$230	$17,230	$5,000
330583	4	0	$600	$70,250	$85,000
330671	1	0	$310	$72,000	$45,000
330957	0	0	$850	$80,000	$350,000
331118	4	89	$2,500	$114,800	$350,000
331305	3	0	$790	$19,400	$225,000
331362	4	121	$1,100	$60,000	$162,500
331371	1	0	$280	$6,500	$17,500
331561	1	0	$300	$38,000	$65,000
331605	1	0	$700	$65,900	$75,000
331649	3	67	$640	$84,000	$112,500
331670	1	0	$1,200	$65,000	$225,000
331696	4	89	$340	$13,900	$137,500
331783	3	67	$630	$16,000	$112,500
331818	4	0	$1,500	$360,000	$625,000
331825	3	0	$950	$42,000	$225,000
331978	4	121	$950	$26,000	$137,500
332222	1	0	$300	$30,000	$45,000
332435	1	0	$400	$43,900	$55,000
332494	3	0	$760	$16,800	$112,500
332548	4	245	$200	$600	$12,500
332783	3	0	$590	$45,000	$75,000
332867	3	0	$1,000	$178,020	$225,000
332934	4	0	$2,200	$196,500	$625,000
333011	4	121	$650	$52,000	$85,000
333196	1	0	$370	$65,000	$112,500
333205	3	151	$1,100	$68,000	$225,000
333409	3	51	$100	$24,600	$95,000
333460	3	63	$880	$46,000	$137,500
333510	3	135	$1,000	$101,000	$162,500
333518	1	0	$350	$28,000	$55,000
333578	3	0	$700	$30,000	$45,000
333582	3	0	$540	$52,000	$85,000
333588	1	0	$440	$10,200	$5,000
333697	3	63	$1,000	$106,000	$112,500
333859	0	0	$230	$46,600	$55,000
333946	1	0	$200	$6,700	$5,000
334127	3	135	$1,200	$130,000	$162,500
334151	3	0	$2,300	$-6,999	$225,000
334156	1	0	$290	$23,200	$17,500
334200	0	0	$2,500	$8,804	$275,000
334342	4	121	$700	$28,000	$225,000
334463	3	0	$400	$18,000	$45,000
334568	2	51	$250	$10,600	$55,000
334591	4	215	$650	$51,000	$85,000
334684	1	0	$1,200	$72,000	$162,500
335028	1	139	$560	$60,000	$85,000
335062	1	0	$450	$13,000	$37,500
335284	1	0	$140	$30,700	$32,500
335448	0	0	$530	$37,500	$137,500
335492	4	215	$440	$100,000	$32,500
335602	4	121	$700	$112,800	$225,000
335668	3	63	$400	$21,340	$112,500
335713	3	135	$990	$73,000	$187,500
335845	1	139	$1,100	$60,010	$162,500
336364	1	0	$310	$37,000	$32,500
336457	4	0	$100	$10,400	$37,500
336464	3	57	$1,200	$117,600	$225,000
336713	3	0	$700	$96,200	$225,000
336752	3	67	$520	$64,600	$137,500
336824	3	151	$1,100	$46,900	$187,500
336894	4	121	$780	$130,000	$187,500
336974	1	0	$400	$79,300	$45,000
337299	4	0	$700	$32,080	$75,000
337306	3	63	$2,000	$122,300	$225,000
337407	0	0	$1,300	$115,000	$225,000
337604	3	135	$660	$44,700	$137,500
337730	4	245	$750	$12,300	$112,500
337807	3	0	$800	$35,600	$112,500
337819	3	0	$900	$18,000	$187,500
337846	1	0	$1,100	$35,000	$162,500
337881	3	0	$700	$79,600	$162,500
338024	1	0	$500	$38,600	$137,500
338055	1	0	$500	$32,000	$32,500
338279	4	121	$2,200	$75,000	$350,000
338304	3	51	$440	$40,000	$45,000
338533	2	121	$180	$9,000	$65,000
338998	3	89	$1,100	$35,000	$162,500
339187	0	0	$740	$32,520	$65,000
339254	2	121	$1,500	$162,000	$275,000
339263	3	51	$1,700	$62,380	$275,000
339354	1	0	$280	$24,700	$55,000
339505	0	0	$1,700	$74,000	$350,000
339792	3	135	$1,500	$25,000	$225,000
340092	3	89	$1,500	$11,130	$450,000
340100	3	0	$500	$13,500	$137,500
340222	1	0	$850	$172,400	$137,500
340296	3	57	$1,100	$32,000	$187,500
340376	1	0	$230	$12,500	$55,000
340555	3	135	$1,000	$49,600	$137,500
340556	3	0	$1,700	$121,000	$275,000
340771	3	89	$400	$7,500	$85,000
340792	0	0	$350	$8,900	$55,000
340814	3	63	$660	$82,600	$137,500
341024	1	0	$1,000	$115,440	$450,000
341364	0	0	$630	$50,000	$350,000
341473	1	0	$300	$0	$45,000
341646	3	89	$900	$45,000	$137,500
341664	3	51	$450	$50,400	$5,000
341946	3	0	$700	$64,700	$137,500
342647	3	63	$950	$12,000	$112,500
342649	3	0	$300	$0	$162,500
342659	1	0	$220	$17,900	$17,500
342794	3	0	$700	$34,600	$162,500
342987	1	0	$750	$50,000	$137,500
343105	3	89	$1,400	$45,000	$187,500
343185	1	0	$650	$49,000	$95,000
343752	4	0	$400	$2,500	$137,500
343766	1	0	$450	$10,000	$45,000
343791	3	89	$1,400	$42,500	$225,000
343817	1	0	$280	$37,000	$37,500
343895	3	0	$230	$21,800	$27,500
343898	1	0	$650	$48,000	$112,500
343990	3	0	$1,200	$57,000	$162,500
344215	1	0	$450	$20,000	$45,000
344295	1	0	$300	$23,200	$45,000
344553	1	0	$250	$15,000	$22,500
344615	4	245	$550	$72,500	$95,000
344673	3	0	$490	$36,700	$45,000
344790	3	89	$1,200	$61,000	$162,500
344850	4	21	$450	$42,000	$75,000
344908	1	0	$450	$75,000	$65,000
